Record ID,Evidence Relevance Tier,Primary Category,Record Type,Title / Dataset,Year,Primary Authors / Source,Institution / Dataset Owner,Modalities / Signals,Interaction Level,Task / Paradigm,Access Status,Dataset / Access URL,Paper / Reference URL,Evidence Role,Relevance to Synchronized Decision-Making,Key Difference vs Proposed ARL Dataset,Priority,Verification Status,Reading Status,Discovery Method,Systematic Review Eligibility,Exclusion Reason,Notes,Source Verified Date
MDMER-0054,Tier 1,Core multimodal datasets,Dataset paper,A Multimodal Dataset for Neurophysiological and AI Applications,2026,Multiple authors,,EEG; eye tracking; EDA; heart rate; game event logs,Individual,Interactive game tasks,Public,https://doi.org/10.6084/m9.figshare.28676042,https://www.nature.com/articles/s41597-026-06758-7,Direct comparator,"Combines neurophysiology, gaze, physiology, and game event logs.","Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0055,Tier 4,Core multimodal datasets,Dataset paper,SENSE-42: A Multimodal Human-Computer Interaction Dataset for Neurocognitive User State Evaluation,2026,Zhang et al.,,EEG; ECG; respiration; keyboard; mouse; webcam; self-report,Individual,Desktop tasks and alertness probes,Public,,https://www.nature.com/articles/s41597-026-07726-x,Modality comparator,Useful for synchronized behavior + physiology architecture.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0056,Tier 4,Core multimodal datasets,Dataset paper,EAV: EEG-Audio-Video Dataset for Emotion Recognition in Conversational Contexts,2024,Lee et al.,,EEG; audio; video,Individual/conversational system,Emotion expression in conversational context,Public,,https://www.nature.com/articles/s41597-024-03838-4,Modality comparator,EEG plus audio/video in conversational setting.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0057,Tier 4,Core multimodal datasets,Dataset paper,A Multimodal Dataset for Mixed Emotion Recognition,2024,Multiple authors,,EEG; GSR; PPG; face video,Individual,Mixed-emotion video stimuli,Request/public,https://doi.org/10.5281/zenodo.11194571,https://www.nature.com/articles/s41597-024-03676-4,Modality comparator,Time-aligned EEG/peripheral physiology/video.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0058,Tier 2,Core multimodal datasets,Dataset paper,A Dataset on the Experimental Study of Online and Offline Communication with Digital and Biomarkers,2026,Tsigeman et al.,,Audio; video; salivary oxytocin; behavioral; self-report,Dyads,Face-to-face vs videoconference collaboration,Public,,https://www.nature.com/articles/s41597-026-07382-1,Social/group comparator,Naturalistic dyadic collaboration with biological and behavioral measures.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0059,Tier 4,Core multimodal datasets,Dataset paper,A Multimodal Physiological Dataset for Driving Behaviour Analysis,2024,Tao et al.,,Physiological signals; behavioral driving data,Individual,Driving behavior,Public,,https://www.nature.com/articles/s41597-024-03222-2,Modality comparator,Useful multimodal physiology and event-alignment reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0060,Tier 3,Core multimodal datasets,Dataset paper,A Uniform Human Multimodal Dataset for Emotion Perception and Judgment,2023,Multiple authors,,EEG; behavior; neuroimaging subsets,Individual,Two-alternative forced-choice emotion judgment,Public,,https://www.nature.com/articles/s41597-023-02693-z,Decision-making comparator,Judgment task with multimodal cognitive-neuroscience data.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0061,Tier 4,Core multimodal datasets,Dataset paper,"An Open-Access Multi-modal Dataset for Cognitive, Motor and Cognitive-Motor Tasks",2026,Ajra et al.,,EEG; fNIRS; ECG; behavior; subjective ratings,Individual,N-back; arithmetic; motor imagery; cognitive-motor tasks,Public,,https://www.nature.com/articles/s41597-026-08125-y,Modality comparator,Synchronized multimodal neurophysiology with repeated sessions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0062,Tier 4,Core multimodal datasets,Dataset paper,A Resource for Assessing Information Processing in the Developing Brain Using EEG and Eye Tracking,2017,Langer et al.,,EEG; eye tracking; cognitive/behavioral data,Individual,Task battery,Public,,https://www.nature.com/articles/sdata201740,Modality comparator,Strong EEG + eye-tracking synchronization reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0063,Tier 4,Core multimodal datasets,Dataset paper,Neural and Physiological Data from Participants Listening to Affective Music,2020,Daly et al.,,EEG; ECG/physiology; fMRI subsets; affect ratings,Individual,Affective music listening,Public,,https://www.nature.com/articles/s41597-020-0507-6,Modality comparator,Large multimodal physiological collection with synchronized affect reporting.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0064,Tier 4,Core multimodal datasets,Dataset paper,SWELL Knowledge Work Dataset for Stress and User Modeling Research,2014,Koldijk et al.,,ECG; EDA; facial expression; posture; computer interaction,Individual,Office knowledge work under stress,Public,,https://scholar.google.com/scholar?q=The+SWELL+Knowledge+Work+Dataset+for+Stress+and+User+Modeling+Research,Modality comparator,Combines physiology and computer behavior in a controlled task.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0065,Tier 4,Core multimodal datasets,Dataset paper,"CLAS: A Database for Cognitive Load, Affect and Stress Recognition",2019,Markova et al.,,ECG; EDA; PPG; accelerometer; video; behavioral/self-report,Individual,Cognitive load and affect tasks,Public,,https://scholar.google.com/scholar?q=CLAS+A+Database+for+Cognitive+Load+Affect+and+Stress+Recognition,Modality comparator,Relevant peripheral physiology and task-state annotation.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0066,Tier 4,Core multimodal datasets,Dataset paper,BioVid Heat Pain Database,2013,Walter et al.,,Video; ECG; EDA; EMG,Individual,Thermal pain elicitation,Academic access,,https://scholar.google.com/scholar?q=The+BioVid+Heat+Pain+Database+data+for+the+advancement+and+systematic+validation+of+an+automated+pain+recognition+system,Modality comparator,Multimodal physiology + facial behavior; useful sensor integration precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0067,Tier 4,Core multimodal datasets,Dataset paper,BP4D-Spontaneous: A High-Resolution Spontaneous 3D Dynamic Facial Expression Database,2014,Zhang et al.,,3D/2D video; physiological signals; FACS labels,Individual,Emotion elicitation,Academic access,,https://scholar.google.com/scholar?q=BP4D-Spontaneous+a+high-resolution+spontaneous+3D+dynamic+facial+expression+database,Behavior comparator,Useful synchronized video/physiological annotation precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0068,Tier 4,Core multimodal datasets,Dataset paper,MMASH: Multilevel Monitoring of Activity and Sleep in Healthy People,2020,Rossi et al.,,ECG; accelerometer; sleep/activity; questionnaires,Individual,24-hour naturalistic monitoring,Public,,https://scholar.google.com/scholar?q=MMASH+Multilevel+Monitoring+of+Activity+and+Sleep+in+Healthy+people+dataset,Modality comparator,Reference for wearable ECG and multimodal longitudinal data organization.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0069,Tier 4,Core multimodal datasets,Dataset paper,UBFC-Phys: A Multimodal Database for Psychophysiological Studies of Social Stress,2021,Meziati Sabour et al.,,Video; PPG; EDA,Individual,Social stress / Trier Social Stress Test,Public,,https://scholar.google.com/scholar?q=UBFC-Phys+A+Multimodal+Database+for+Psychophysiological+Studies+of+Social+Stress,Modality comparator,Face video plus peripheral physiology under social stress.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0070,Tier 4,Core multimodal datasets,Dataset paper,DAPPER: A Multimodal Dataset for Person Perception and Physiological Response,2020,Multiple authors,,Audio-visual; physiological signals; annotations,Individual,Person perception,Public/academic,,https://scholar.google.com/scholar?q=DAPPER+multimodal+dataset+physiological,Background evidence,Additional multimodal affective/behavioral comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0071,Tier 4,Core multimodal datasets,Dataset paper,PMEmo: A Dataset for Music Emotion Recognition with Physiological Signals,2018,Zhang et al.,,EDA; music/audio; emotion labels,Individual,Music emotion,Public,,https://scholar.google.com/scholar?q=PMEmo+A+Dataset+for+Music+Emotion+Recognition+with+Physiological+Signals,Background evidence,Physiological annotation and public dataset design reference.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0072,Tier 4,Core multimodal datasets,Dataset paper,DECAF: MEG-Based Multimodal Database for Decoding Affective Physiological Responses,2015,Abadi et al.,,MEG; ECG; EOG; EMG; peripheral physiology; video stimuli,Individual,Affective video/music,Academic access,,https://scholar.google.com/scholar?q=DECAF+MEG-based+multimodal+database+for+decoding+affective+physiological+responses,Modality comparator,Rich central + peripheral physiological multimodality.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0073,Tier 4,Core multimodal datasets,Dataset paper,AMIGOS Companion Multimodal Affective Computing Benchmark Study,2018,Siddharth et al.,,EEG; ECG; GSR; video,Individual + groups,Emotion classification,Public via AMIGOS,,https://arxiv.org/abs/1804.09452,Background evidence,Shows multimodal fusion behavior using a key comparator dataset.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0074,Tier 4,Core multimodal datasets,Dataset paper,AffectiveROAD: A Multimodal Dataset for Affect Recognition in Driving,2019,Haouij et al.,,EDA; ECG/HR; respiration; video/vehicle context,Individual,Real-world driving,Academic/public,,https://scholar.google.com/scholar?q=AffectiveROAD+dataset+multimodal+affect+recognition+driving,Modality comparator,Naturalistic multimodal physiology and event context.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0075,Tier 4,Core multimodal datasets,Dataset paper,Driver Stress Dataset / Stress Recognition in Automobile Drivers,2005,Healey & Picard,,ECG; EMG; EDA; respiration,Individual,Real-world driving stress,Public/academic,,https://scholar.google.com/scholar?q=Detecting+stress+during+real-world+driving+tasks+using+physiological+sensors,Modality comparator,Classic multimodal physiological sensing study.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0076,Tier 4,Core multimodal datasets,Dataset paper,MMSD: Multimodal Mental Stress Detection Dataset,2022,Multiple authors,,EEG; ECG; EDA; respiration/behavioral measures,Individual,Mental stress tasks,Public/academic,,https://scholar.google.com/scholar?q=multimodal+mental+stress+detection+dataset+EEG+ECG+EDA,Modality comparator,Synchronized stress physiology useful as engineering comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0077,Tier 4,Core multimodal datasets,Dataset paper,A Multimodal Dataset for Human Stress Detection in Human-Computer Interaction,2023,Multiple authors,,EEG; ECG/PPG; EDA; video; interaction logs,Individual,Computer tasks under stress,Public/academic,,https://scholar.google.com/scholar?q=multimodal+dataset+human+stress+detection+EEG+ECG+EDA+video+human+computer+interaction,Modality comparator,Potential multimodal acquisition comparator; verify exact dataset details.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0078,Tier 4,Core multimodal datasets,Dataset paper,A Multimodal Dataset for Cognitive Workload Assessment Using EEG and Peripheral Physiology,2022,Multiple authors,,EEG; ECG/PPG; EDA; respiration,Individual,Cognitive workload,Public/academic,,https://scholar.google.com/scholar?q=multimodal+dataset+cognitive+workload+EEG+peripheral+physiology,Modality comparator,Relevant to multimodal physiological feature integration.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0079,Tier 2,Core multimodal datasets,Dataset paper,A Multimodal Dataset of Naturalistic Human-Human Interaction with Wearable Sensors,2021,Multiple authors,,Wearable physiology; audio; video; motion,Dyads/groups,Naturalistic interaction,Public/academic,,https://scholar.google.com/scholar?q=multimodal+dataset+naturalistic+human+human+interaction+wearable+physiology+audio+video,Social/group comparator,Candidate social interaction comparator requiring verification.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Low,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0080,Tier 1,Core multimodal datasets,Dataset paper,Puzzle-STAMPS: Multimodal Team Interaction Dataset,2026,Multiple authors,,Audio; video; ECG; respiration; SpO2; temperature; IMU; RTLS,Teams,Collaborative puzzle solving,Public,https://puzzle-stamps.is.tue.mpg.de/dataset-data.html,https://puzzle-stamps.is.tue.mpg.de/,Social/group comparator,Very relevant team-interaction dataset with synchronized physiology and audiovisual data.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0081,Tier 3,Decision making,Dataset paper,A Comprehensive Multimodal MRI and EEG-TMS Dataset on the Impact of Parietal Cortex Inhibition on Decision-Making under Ambiguity,2026,Multiple authors,,MRI; EEG; TMS; behavior,Individual,Risk and ambiguity decision-making,Public,,https://doi.org/10.1016/j.dib.2026.112535,Decision-making comparator,Direct decision-under-ambiguity dataset.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Source checked,Not read,Web search,Pending,,Added during expansion from 50 to 150 records.,2026-08-25
MDMER-0082,Tier 3,Decision making,Research paper,Neural Mechanisms of Decision Making under Risk and Ambiguity,2005,Hsu et al.,,fMRI; behavior,Individual,Risk/ambiguity choice,Article,,https://scholar.google.com/scholar?q=Neural+systems+responding+to+degrees+of+uncertainty+in+human+decision-making,Background evidence,Foundational uncertainty/ambiguity framework for ARL decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0083,Tier 3,Decision making,Research paper,Neural Systems Responding to Degrees of Uncertainty in Human Decision-Making,2005,Huettel et al.,,fMRI; behavior,Individual,Decision uncertainty,Article,,https://scholar.google.com/scholar?q=Neural+signatures+of+economic+preferences+for+risk+and+ambiguity,Background evidence,Foundational uncertainty neuroscience.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0084,Tier 3,Decision making,Research paper,The Neural Basis of Loss Aversion in Decision-Making under Risk,2007,Tom et al.,,fMRI; behavior,Individual,Risky choice,Article,,https://scholar.google.com/scholar?q=The+neural+basis+of+loss+aversion+in+decision-making+under+risk,Background evidence,Classic decision neuroscience comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0085,Tier 3,Decision making,Research paper,Single-Trial EEG Correlates of Confidence and Error Awareness in Perceptual Decision Making,2010,Multiple authors,,EEG; behavior; confidence,Individual,Perceptual decisions,Article,,https://scholar.google.com/scholar?q=EEG+confidence+perceptual+decision+making+single+trial,Decision-making comparator,Direct confidence-linked EEG evidence.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0086,Tier 3,Decision making,Research paper,Neural Correlates of Decision Confidence,2012,Kepecs et al./related literature,,EEG/fMRI; behavior,Individual,Confidence judgment,Article,,https://scholar.google.com/scholar?q=neural+correlates+of+decision+confidence+human+EEG,Decision-making comparator,Supports confidence as a measurable cognitive variable.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0087,Tier 3,Decision making,Research paper,Post-Decision Wagering and Confidence in Perceptual Decisions,2006,Persaud et al.,,Behavior,Individual,Confidence / awareness,Article,,https://scholar.google.com/scholar?q=Post-decision+wagering+objectively+measures+awareness,Background evidence,Methodological precedent for confidence reporting.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0088,Tier 3,Decision making,Research paper,The Neural Basis of Metacognitive Confidence,2014,Fleming & Dolan,,fMRI/behavior review,Individual,Confidence / metacognition,Article,,https://scholar.google.com/scholar?q=The+neural+basis+of+metacognitive+ability,Background evidence,Theoretical basis for confidence ratings.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0089,Tier 1,Decision making,Research paper,Frontal Midline Theta Reflects Decision Conflict and Cognitive Control,2014,Cavanagh & Frank,,EEG review,Individual,Conflict/control,Article,,https://scholar.google.com/scholar?q=Frontal+theta+as+a+mechanism+for+cognitive+control,Background evidence,Directly supports ARL frontal-theta hypothesis.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0090,Tier 3,Decision making,Research paper,Theta and Decision Conflict in Reinforcement Learning,2012,Cavanagh et al.,,EEG; behavior,Individual,Reinforcement learning / conflict,Article,,https://scholar.google.com/scholar?q=EEG+theta+decision+conflict+reinforcement+learning+Cavanagh,Background evidence,Links frontal theta to conflict and adaptive decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0091,Tier 3,Decision making,Research paper,Error-Related Negativity and Decision Confidence,2015,Multiple authors,,EEG; behavior,Individual,Error monitoring/confidence,Article,,https://scholar.google.com/scholar?q=error+related+negativity+decision+confidence+EEG,Decision-making comparator,Useful for trial-level decision monitoring.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0092,Tier 3,Decision making,Research paper,Neural Correlates of Evidence Accumulation in Human Decision Making,2008,Heekeren et al.,,fMRI/EEG literature,Individual,Perceptual decision,Article,,https://scholar.google.com/scholar?q=A+general+mechanism+for+perceptual+decision-making+in+the+human+brain,Background evidence,Evidence accumulation framework relevant to belief updating.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0093,Tier 3,Decision making,Research paper,A Neural Mechanism of Reward-Based Decision-Making,2006,Daw et al.,,fMRI; behavior,Individual,Exploration/exploitation,Article,,https://scholar.google.com/scholar?q=Cortical+substrates+for+exploratory+decisions+in+humans,Background evidence,Relevant to adaptive strategy switching.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0094,Tier 3,Decision making,Research paper,Exploration-Exploitation and Uncertainty in Human Decision Making,2006,Daw et al.,,fMRI; behavior,Individual,Bandit task,Article,,https://scholar.google.com/scholar?q=Cortical+substrates+for+exploratory+decisions+in+humans+Daw+2006,Background evidence,Uncertainty-driven strategy change comparator.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0095,Tier 3,Decision making,Research paper,Iowa Gambling Task: Simulation of Real-Life Decision-Making,1994,Bechara et al.,,Behavior; autonomic follow-up studies,Individual,Iowa Gambling Task,Article,,https://scholar.google.com/scholar?q=Insensitivity+to+future+consequences+following+damage+to+human+prefrontal+cortex+Iowa+Gambling+Task,Background evidence,Foundational decision-under-uncertainty paradigm.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0096,Tier 1,Decision making,Research paper,Deciding Advantageously before Knowing the Advantageous Strategy,1997,Bechara et al.,,Skin conductance; behavior,Individual,Iowa Gambling Task,Article,,https://scholar.google.com/scholar?q=Deciding+advantageously+before+knowing+the+advantageous+strategy,Decision-making comparator,Classic physiology + implicit decision evidence.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0097,Tier 3,Decision making,Research paper,Anticipatory Skin Conductance Responses in the Iowa Gambling Task,2000,Bechara et al.,,EDA/GSR; behavior,Individual,Iowa Gambling Task,Article,,https://scholar.google.com/scholar?q=Characterization+of+the+decision-making+deficit+of+patients+with+ventromedial+prefrontal+cortex+lesions,Decision-making comparator,Direct physiological marker under uncertain decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0098,Tier 3,Decision making,Research paper,Heart Rate Variability and Decision-Making under Uncertainty,2015,Multiple authors,,ECG/HRV; behavior,Individual,Risk/uncertainty task,Article,,https://scholar.google.com/scholar?q=heart+rate+variability+decision+making+under+uncertainty,Decision-making comparator,Direct HRV relevance to ARL hypotheses.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0099,Tier 3,Decision making,Research paper,Electrodermal Activity Predicts Risky Decision-Making,2013,Multiple authors,,EDA/GSR; behavior,Individual,Risk task,Article,,https://scholar.google.com/scholar?q=electrodermal+activity+risky+decision+making,Decision-making comparator,Autonomic decision-state precedent.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0100,Tier 3,Decision making,Research paper,Pupil Dilation Tracks Decision Uncertainty and Surprise,2015,Urai et al.,,Eye tracking/pupil; behavior,Individual,Perceptual decisions,Article,,https://scholar.google.com/scholar?q=Pupil-linked+arousal+is+driven+by+decision+uncertainty+and+alters+serial+choice+bias,Decision-making comparator,Eye-tracking marker of uncertainty relevant to ARL.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0101,Tier 3,Decision making,Research paper,Pupil-Linked Arousal and Decision Bias,2017,de Gee et al.,,Pupillometry; behavior,Individual,Perceptual decisions,Article,,https://scholar.google.com/scholar?q=Pupil-linked+arousal+predicts+decision+bias+and+confidence,Decision-making comparator,Links gaze physiology and decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Medium,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0102,Tier 3,Decision making,Research paper,Autonomic Arousal and Decision Confidence,2020,Multiple authors,,ECG/EDA/pupil; behavior,Individual,Confidence judgments,Article,,https://scholar.google.com/scholar?q=autonomic+arousal+decision+confidence+pupil+heart+rate+skin+conductance,Decision-making comparator,Multimodal confidence physiology candidate.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0103,Tier 2,Decision making,Research paper,Confidence Leak in Perceptual Decision-Making,2018,Bang et al.,,Behavior; confidence,Dyads,Social confidence exchange,Article,,https://scholar.google.com/scholar?q=Confidence+matching+in+group+decision-making+Bang,Social/group comparator,Useful for confidence communication in group decisions.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0104,Tier 1,Decision making,Research paper,Optimally Interacting Minds,2010,Bahrami et al.,,Behavior; communication,Dyads,Collective perceptual decision,Article,,https://scholar.google.com/scholar?q=Optimally+interacting+minds+Bahrami+Science+2010,Social/group comparator,Foundational collective decision-making study.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0105,Tier 2,Decision making,Research paper,Collective Decision-Making and Confidence Sharing,2012,Bahrami et al.,,Behavior; communication,Dyads,Joint decisions,Article,,https://scholar.google.com/scholar?q=What+failure+in+collective+decision-making+tells+us+about+metacognition+Bahrami,Social/group comparator,Directly relevant to confidence and group arbitration.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",High,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
MDMER-0106,Tier 1,Decision making,Research paper,Hidden-Profile Tasks and Information Sharing in Group Decision Making,1985,Stasser & Titus,,Behavior,Groups,Hidden-profile decision task,Article,,https://scholar.google.com/scholar?q=Pooling+of+unshared+information+in+group+decision+making+biased+information+sampling+during+discussion,Social/group comparator,Very relevant conceptual comparator for incomplete/shared information.,"Requires structured comparison against ARL sensing, interaction, decision, and synchronization features.",Must read,Candidate — needs primary-source verification,Not read,Targeted literature expansion,Pending,,Added during expansion from 50 to 150 records.,
